PROJNUM,ActivityType
19980117,Riparian
19980118,Riparian
19980119,Riparian
19980120,Riparian
19980121,Instream
19980122,Instream
19980122,Road
19980123,Instream
19980123,Road
19980124,Fish Passage
19980125,Instream
19980126,Instream
19980127,Instream
19980128,Instream
19980129,Instream
19980129,Riparian
19980129,Upland
19980129,Wetland
19980130,Instream
19980131,Instream
19980132,Instream
19980133,Instream
19980134,Instream
19980135,Instream
19980136,Road
19980137,Road
19980138,Road
19980139,Road
19980140,Road
19980141,Road
19980142,Road
19980143,Road
19980144,Road
19980145,Riparian
19980145,Road
19980146,Road
19980147,Road
19980148,Road
19980149,Road
19980150,Road
19980151,Road
19980152,Road
19980153,Road
19980154,Road
19980155,Road
19980156,Road
19980157,Road
19980158,Riparian
19980159,Riparian
19980160,Riparian
19980161,Riparian
19980162,Road
19980163,Road
19980164,Road
19980165,Road
19980166,Riparian
19980167,Road
19980168,Road
19980169,Road
19980170,Fish Passage
19980171,Riparian
19980171,Upland
19980172,Upland
19980173,Combined
19980174,Instream
19980174,Riparian
19980175,Instream
19980176,Instream
19980177,Instream
19980177,Fish Passage
19980177,Road
19980178,Instream
19980179,Instream
19980180,Instream
19980180,Riparian
19980181,Instream
19980182,Fish Passage
19980183,Instream
19980183,Riparian
19980184,Upland
19980185,Instream
19980186,Instream
19980186,Riparian
19980186,Upland
19980187,Road
19980188,Road
19980189,Riparian
19980190,Riparian
19980191,Riparian
19980192,Road
19980193,Riparian
19980194,Fish Passage
19980195,Fish Passage
19980196,Riparian
19980197,Fish Passage
19980198,Riparian
19980199,Riparian
19980200,Road
19980201,Riparian
19980202,Riparian
19980203,Riparian
19980204,Riparian
19980205,Riparian
19980206,Riparian
19980207,Riparian
19980208,Riparian
19980209,Riparian
19980210,Riparian
19980211,Riparian
19980212,Riparian
19980213,Riparian
19980214,Riparian
19980215,Riparian
19980216,Riparian
19980217,Fish Passage
19980218,Road
19980219,Road
19980220,Road
19980221,Road
19980222,Road
19980223,Road
19980224,Road
19980225,Road
19980226,Road
19980227,Road
19980228,Road
19980229,Road
19980230,Road
